x,y,area_roof_solar_m2,PV_Pot,has_pv_2024,BeginningOfOperation_Year,heating_system1,energy_source1,update_date
2523994.059093204,1148079.6773365051,158.9122718392896,20829.28922266165,True,2021,Chaudière (gén.) pour un bât.,Gaz,2022
2524230.186466547,1147849.9090856174,379.8337904123516,42378.09389478219,False,-99,Chaudière (gén.) pour un bât.,Gaz,2006
2523124.077426046,1147343.4696435472,1428.5845983847623,185686.46971424413,False,-99,Chaudière (gén.) pour plus. bât.,Mazout,2001
2523911.3862838843,1147805.8423974628,394.092800257,53732.59185195399,False,-99,Chaudière à cond. pour un bât.,Mazout,2019
2523906.238759759,1148115.019254272,236.3600518697924,27889.44721317444,False,-99,Chaudière (gén.) pour un bât.,Mazout,2001
2524338.4463836616,1148779.9756148632,521.470161237215,71724.84052051249,False,-99,Chaudière (gén.) pour un bât.,Mazout,2001
2524027.37018494,1147933.7678853835,332.7188129328235,40712.77331926004,False,-99,Chaudière (gén.) pour un bât.,Gaz,2010
2524121.971265682,1148169.3683121253,242.5673580524766,28062.947956815005,False,-99,Pompe à chaleur pour un bât.,Sonde géothermique,2022
2524159.4450721126,1147916.6313963947,166.96870777579946,21052.18715467938,True,2014,Chaudière (gén.) pour un bât.,Gaz,2013
2524223.6299558156,1147892.816022055,184.1781356055862,22971.1045932784,True,2020,Pompe à chaleur pour un bât.,Indéterminé,2022
